Monitoring Location Latitude,Monitoring Location Longitude
45.863,-84.295
46,-84.5
45.7,-84.5
45.703,-84.512
45.845,-84.567
47.31,-84.658
46.543,-84.748
45.813,-84.755
46.733,-84.793
47.4,-84.8
47.1,-84.8
46.8,-84.8
46.5,-84.8
45.4,-85
47.7,-85.1
47.4,-85.1
47.1,-85.1
46.8,-85.1
47.037,-85.103
46.99331,-85.1611
45.7,-85.3
45.4,-85.3
47.7,-85.4
47.4,-85.4
47.1,-85.4
46.8,-85.4
45.7,-85.6
45.4,-85.6
47.36056,-85.62056
47.213,-85.633
47.7,-85.7
47.4,-85.7
47.1,-85.7
46.8,-85.7
46.713,-85.818
46.894444,-85.85139
45.7,-85.9
45.4,-85.9
45.1,-85.9
47.69,-85.967
48,-86
47.7,-86
47.4,-86
47.1,-86
46.8,-86
45.7,-86.2
45.4,-86.2
45.1,-86.2
44.8,-86.2
48.6,-86.3
48.3,-86.3
48.113,-86.3
48,-86.3
47.7,-86.3
47.4,-86.3
47.1,-86.3
46.8,-86.3
48.55861,-86.37694
47.08,-86.478
45.7,-86.5
45.4,-86.5
45.1,-86.5
44.8,-86.5
44.5,-86.5
44.2,-86.5
43.9,-86.5
43.6,-86.5
43.3,-86.5
43,-86.5
42.7,-86.5
46.77472,-86.55556
48.583,-86.565
46.508,-86.568
48.07417,-86.59139
48.6,-86.6
48.3,-86.6
48,-86.6
47.7,-86.6
47.4,-86.6
47.1,-86.6
46.8,-86.6
46.5,-86.6
45.7,-86.8
45.4,-86.8
45.1,-86.8
44.8,-86.8
44.5,-86.8
44.2,-86.8
43.9,-86.8
43.6,-86.8
43.3,-86.8
43,-86.8
42.7,-86.8
47.60583,-86.81778
48.6,-86.9
48.3,-86.9
48,-86.9
47.7,-86.9
47.4,-86.9
47.1,-86.9
46.8,-86.9
46.5,-86.9
47.583,-86.952
48.757,-86.976
48.218,-87.017
48.43667,-87.08611
45.4,-87.1
44.8,-87.1
44.5,-87.1
44.2,-87.1
43.9,-87.1
43.6,-87.1
43.3,-87.1
43,-87.1
42.7,-87.1
48.6,-87.2
48.3,-87.2
48,-87.2
47.7,-87.2
47.4,-87.2
47.1,-87.2
46.8,-87.2
46.5,-87.2
48.438,-87.253
46.933,-87.305
46.517,-87.337
45.1,-87.4
44.5,-87.4
44.2,-87.4
43.9,-87.4
43.6,-87.4
43.3,-87.4
43,-87.4
42.7,-87.4
47.402,-87.412
47.847,-87.457
48.6,-87.5
48.3,-87.5
48,-87.5
47.7,-87.5
47.4,-87.5
47.1,-87.5
46.8,-87.5
47.51417,-87.54611
48.733,-87.563
43.9,-87.7
43.6,-87.7
43.3,-87.7
43,-87.7
42.7,-87.7
