MonitoringLocationName,MonitoringLocationID,ActivityType,ActivityMediaName,ActivityStartDate,CharacteristicName,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType
Lake Erie,932,Sample-Routine,Surface Water,2024-08-12,Turbidity,,0.25,NTU,Actual
Lake Huron,42,Sample-Routine,Surface Water,2022-09-18,Turbidity,,0.12,NTU,Actual
Lake Huron,42,Sample-Routine,Surface Water,2024-09-07,Turbidity,,0.16,NTU,Actual
Lake Erie,1237,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.24,NTU,Actual
Lake Erie,1237,Sample-Routine,Surface Water,2023-05-09,Turbidity,,0.97,NTU,Actual
Lake Erie,1237,Sample-Routine,Surface Water,2024-08-20,Turbidity,,0.43,NTU,Actual
Lake Superior,192,Sample-Routine,Surface Water,2024-06-11,Turbidity,,0.6,NTU,Actual
Lake Superior,192,Sample-Routine,Surface Water,2024-09-17,Turbidity,,0.12,NTU,Actual
Lake Superior,125,Sample-Routine,Surface Water,2024-06-11,Turbidity,,0.12,NTU,Actual
Lake Superior,125,Sample-Routine,Surface Water,2024-09-16,Turbidity,,0.11,NTU,Actual
Lake Ontario,73,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.16,NTU,Actual
Lake Ontario,73,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.25,NTU,Actual
Lake Ontario,918,Sample-Routine,Surface Water,2022-04-27,Turbidity,,1.3,NTU,Actual
Lake Ontario,918,Sample-Routine,Surface Water,2023-04-18,Turbidity,,1.11,NTU,Actual
Lake Huron,95,Sample-Routine,Surface Water,2022-06-01,Turbidity,,0.28,NTU,Actual
Lake Huron,95,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.21,NTU,Actual
Lake Huron,95,Sample-Routine,Surface Water,2024-08-27,Turbidity,,0.26,NTU,Actual
Lake Superior,51,Sample-Routine,Surface Water,2024-06-09,Turbidity,,0.18,NTU,Actual
Lake Superior,51,Sample-Routine,Surface Water,2024-09-14,Turbidity,,0.16,NTU,Actual
Lake Huron,10,Sample-Routine,Surface Water,2022-09-21,Turbidity,,0.26,NTU,Actual
Lake Huron,10,Sample-Routine,Surface Water,2024-08-28,Turbidity,,0.14,NTU,Actual
Lake Ontario,78,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.13,NTU,Actual
Lake Ontario,78,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.14,NTU,Actual
Lake Erie,951,Sample-Routine,Surface Water,2022-08-17,Turbidity,,0.77,NTU,Actual
Lake Erie,951,Sample-Routine,Surface Water,2023-05-12,Turbidity,,1.4,NTU,Actual
Lake Erie,969,Sample-Routine,Surface Water,2022-08-19,Turbidity,,2.87,NTU,Actual
Lake Erie,969,Sample-Routine,Surface Water,2022-08-19,Turbidity,,3.41,NTU,Actual
Lake Erie,969,Sample-Routine,Surface Water,2023-05-16,Turbidity,,7.67,NTU,Actual
Lake Erie,969,Sample-Routine,Surface Water,2023-05-16,Turbidity,,7.43,NTU,Actual
Lake Erie,969,Sample-Routine,Surface Water,2024-08-14,Turbidity,,8.17,NTU,Actual
Lake Ontario,94,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.21,NTU,Actual
Lake Ontario,94,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.37,NTU,Actual
Lake Erie,948,Sample-Routine,Surface Water,2022-08-17,Turbidity,,0.95,NTU,Actual
Lake Erie,948,Sample-Routine,Surface Water,2023-05-11,Turbidity,,2.61,NTU,Actual
Lake Erie,948,Sample-Routine,Surface Water,2024-08-22,Turbidity,,0.58,NTU,Actual
Georgian Bay,36,Sample-Routine,Surface Water,2022-09-14,Turbidity,,0.22,NTU,Actual
Georgian Bay,36,Sample-Routine,Surface Water,2024-09-07,Turbidity,,0.26,NTU,Actual
Lake Huron,100,Sample-Routine,Surface Water,2022-09-20,Turbidity,,3.09,NTU,Actual
Lake Huron,100,Sample-Routine,Surface Water,2022-06-01,Turbidity,,0.61,NTU,Actual
Lake Huron,100,Sample-Routine,Surface Water,2024-08-27,Turbidity,,2.38,NTU,Actual
Lake Huron,100,Sample-Routine,Surface Water,2024-08-27,Turbidity,,2.07,NTU,Actual
Lake Huron,27,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.15,NTU,Actual
Lake Huron,27,Sample-Routine,Surface Water,2024-09-03,Turbidity,,0.11,NTU,Actual
Lake Erie,449,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.42,NTU,Actual
Lake Erie,449,Sample-Routine,Surface Water,2023-05-11,Turbidity,,0.59,NTU,Actual
Lake Erie,449,Sample-Routine,Surface Water,2024-08-22,Turbidity,,0.53,NTU,Actual
Georgian Bay,8,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.16,NTU,Actual
Georgian Bay,8,Sample-Routine,Surface Water,2024-09-09,Turbidity,,0.21,NTU,Actual
Lake Ontario,1,Sample-Routine,Surface Water,2022-04-19,Turbidity,,0.15,NTU,Actual
Lake Ontario,1,Sample-Routine,Surface Water,2023-04-18,Turbidity,,0.16,NTU,Actual
Lake Ontario,76,Sample-Routine,Surface Water,2022-04-23,Turbidity,,1.44,NTU,Actual
Lake Ontario,76,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.62,NTU,Actual
Lake Ontario,80,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.1,NTU,Actual
Lake Ontario,80,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.13,NTU,Actual
Lake Superior,180,Sample-Routine,Surface Water,2024-09-18,Turbidity,,0.14,NTU,Actual
Lake Superior,180,Sample-Routine,Surface Water,2024-06-13,Turbidity,,0.11,NTU,Actual
Lake Huron,38,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.14,NTU,Actual
Lake Huron,38,Sample-Routine,Surface Water,2022-06-07,Turbidity,,0.11,NTU,Actual
Lake Huron,38,Sample-Routine,Surface Water,2024-08-30,Turbidity,,0.12,NTU,Actual
Georgian Bay,5,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.15,NTU,Actual
Georgian Bay,5,Sample-Routine,Surface Water,2024-09-09,Turbidity,,0.18,NTU,Actual
Lake Ontario,69,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.12,NTU,Actual
Lake Ontario,69,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.11,NTU,Actual
Georgian Bay,19,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.14,NTU,Actual
Georgian Bay,19,Sample-Routine,Surface Water,2024-09-08,Turbidity,,0.23,NTU,Actual
Lake Ontario,88,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.12,NTU,Actual
Lake Ontario,88,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.17,NTU,Actual
Lake Superior,5,Sample-Routine,Surface Water,2024-09-13,Turbidity,,0.1,NTU,Actual
Lake Superior,5,Sample-Routine,Surface Water,2024-06-08,Turbidity,,0.21,NTU,Actual
Lake Erie,970,Sample-Routine,Surface Water,2022-08-19,Turbidity,,3.38,NTU,Actual
Lake Erie,970,Sample-Routine,Surface Water,2022-08-19,Turbidity,,4.71,NTU,Actual
Lake Erie,970,Sample-Routine,Surface Water,2023-05-17,Turbidity,,5.79,NTU,Actual
Lake Erie,970,Sample-Routine,Surface Water,2024-08-14,Turbidity,,1.39,NTU,Actual
Lake Ontario,82,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.14,NTU,Actual
Georgian Bay,27,Sample-Routine,Surface Water,2022-06-05,Turbidity,,0.18,NTU,Actual
Georgian Bay,27,Sample-Routine,Surface Water,2022-09-14,Turbidity,,0.2,NTU,Actual
Georgian Bay,27,Sample-Routine,Surface Water,2024-09-07,Turbidity,,0.31,NTU,Actual
Lake Huron,79,Sample-Routine,Surface Water,2022-06-04,Turbidity,,0.26,NTU,Actual
Lake Huron,79,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.25,NTU,Actual
Lake Huron,79,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.17,NTU,Actual
Lake Ontario,96,Sample-Routine,Surface Water,2023-04-13,Turbidity,,0.12,NTU,Actual
Lake Erie,946,Sample-Routine,Surface Water,2022-08-17,Turbidity,,0.54,NTU,Actual
Lake Erie,946,Sample-Routine,Surface Water,2023-05-10,Turbidity,,1.9,NTU,Actual
Lake Erie,946,Sample-Routine,Surface Water,2024-08-13,Turbidity,,0.45,NTU,Actual
Lake Huron,33,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.16,NTU,Actual
Lake Huron,33,Sample-Routine,Surface Water,2024-09-04,Turbidity,,0.1,NTU,Actual
Lake Superior,216,Sample-Routine,Surface Water,2024-06-13,Turbidity,,0.4,NTU,Actual
Lake Superior,216,Sample-Routine,Surface Water,2024-09-18,Turbidity,,0.14,NTU,Actual
Lake Erie,963,Sample-Routine,Surface Water,2022-08-19,Turbidity,,0.65,NTU,Actual
Lake Erie,963,Sample-Routine,Surface Water,2023-05-18,Turbidity,,2.25,NTU,Actual
Lake Erie,963,Sample-Routine,Surface Water,2024-08-15,Turbidity,,1.19,NTU,Actual
Lake Huron,34,Sample-Routine,Surface Water,2022-06-01,Turbidity,,0.12,NTU,Actual
Lake Huron,34,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.27,NTU,Actual
Lake Huron,34,Sample-Routine,Surface Water,2024-09-04,Turbidity,,0.19,NTU,Actual
Lake Ontario,91,Sample-Routine,Surface Water,2022-04-21,Turbidity,,0.14,NTU,Actual
Lake Ontario,91,Sample-Routine,Surface Water,2023-04-18,Turbidity,,0.19,NTU,Actual
Lake Huron,66,Sample-Routine,Surface Water,2022-06-03,Turbidity,,0.13,NTU,Actual
Lake Huron,66,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.21,NTU,Actual
Lake Huron,66,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.18,NTU,Actual
Lake Ontario,10,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.12,NTU,Actual
Lake Ontario,10,Sample-Routine,Surface Water,2023-04-18,Turbidity,,0.21,NTU,Actual
Lake Ontario,70,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.1,NTU,Actual
Lake Ontario,70,Sample-Routine,Surface Water,2022-08-11,Turbidity,,0.63,NTU,Actual
Lake Ontario,70,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.12,NTU,Actual
Lake Ontario,23,Sample-Routine,Surface Water,2022-04-26,Turbidity,,0.15,NTU,Actual
Lake Ontario,23,Sample-Routine,Surface Water,2023-04-14,Turbidity,,0.69,NTU,Actual
Lake Ontario,64,Sample-Routine,Surface Water,2022-08-11,Turbidity,,0.72,NTU,Actual
Lake Ontario,64,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.1,NTU,Actual
Lake Ontario,64,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.19,NTU,Actual
Lake Superior,201,Sample-Routine,Surface Water,2024-06-12,Turbidity,,0.15,NTU,Actual
Lake Superior,201,Sample-Routine,Surface Water,2024-09-18,Turbidity,,0.18,NTU,Actual
Lake Erie,957,Sample-Routine,Surface Water,2022-08-18,Turbidity,,0.43,NTU,Actual
Lake Erie,957,Sample-Routine,Surface Water,2023-05-18,Turbidity,,1.21,NTU,Actual
Lake Erie,957,Sample-Routine,Surface Water,2024-08-15,Turbidity,,0.4,NTU,Actual
Lake Huron,94,Sample-Routine,Surface Water,2022-09-20,Turbidity,,0.27,NTU,Actual
Lake Huron,94,Sample-Routine,Surface Water,2024-08-27,Turbidity,,0.22,NTU,Actual
Lake Huron,61,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.16,NTU,Actual
Lake Huron,61,Sample-Routine,Surface Water,2024-09-04,Turbidity,,0.16,NTU,Actual
Lake Superior,160,Sample-Routine,Surface Water,2024-06-11,Turbidity,,0.14,NTU,Actual
Lake Superior,160,Sample-Routine,Surface Water,2024-09-16,Turbidity,,0.17,NTU,Actual
Lake Superior,105,Sample-Routine,Surface Water,2024-06-15,Turbidity,,0.13,NTU,Actual
Lake Superior,105,Sample-Routine,Surface Water,2024-09-21,Turbidity,,0.14,NTU,Actual
Lake Huron,3,Sample-Routine,Surface Water,2022-09-21,Turbidity,,0.28,NTU,Actual
Lake Huron,3,Sample-Routine,Surface Water,2022-05-31,Turbidity,,0.32,NTU,Actual
Lake Huron,3,Sample-Routine,Surface Water,2024-08-28,Turbidity,,0.2,NTU,Actual
Georgian Bay,21,Sample-Routine,Surface Water,2022-09-14,Turbidity,,0.13,NTU,Actual
Georgian Bay,21,Sample-Routine,Surface Water,2022-06-06,Turbidity,,0.1,NTU,Actual
Georgian Bay,21,Sample-Routine,Surface Water,2024-09-09,Turbidity,,0.19,NTU,Actual
Lake Huron,88,Sample-Routine,Surface Water,2022-09-15,Turbidity,,0.45,NTU,Actual
Lake Huron,88,Sample-Routine,Surface Water,2024-09-06,Turbidity,,0.32,NTU,Actual
Lake Huron,39,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.14,NTU,Actual
Lake Huron,39,Sample-Routine,Surface Water,2024-08-29,Turbidity,,0.11,NTU,Actual
Lake Ontario,79,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.16,NTU,Actual
Lake Ontario,79,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.17,NTU,Actual
Lake Huron,44,Sample-Routine,Surface Water,2022-09-18,Turbidity,,0.18,NTU,Actual
Lake Huron,44,Sample-Routine,Surface Water,2022-06-02,Turbidity,,0.11,NTU,Actual
Lake Huron,44,Sample-Routine,Surface Water,2024-08-29,Turbidity,,0.12,NTU,Actual
Lake Erie,933,Sample-Routine,Surface Water,2022-08-15,Turbidity,,0.32,NTU,Actual
Lake Erie,933,Sample-Routine,Surface Water,2023-05-09,Turbidity,,1.04,NTU,Actual
Lake Erie,933,Sample-Routine,Surface Water,2024-08-20,Turbidity,,0.53,NTU,Actual
Lake Superior,221,Sample-Routine,Surface Water,2024-06-12,Turbidity,,2.73,NTU,Actual
Lake Superior,221,Sample-Routine,Surface Water,2024-09-18,Turbidity,,0.25,NTU,Actual
Lake Superior,221,Sample-Routine,Surface Water,2024-05-10,Turbidity,,1.55,NTU,Actual
Lake Superior,221,Sample-Routine,Surface Water,2024-06-12,Turbidity,,2.69,NTU,Actual
Lake Ontario,15,Sample-Routine,Surface Water,2023-04-13,Turbidity,,0.13,NTU,Actual
Lake Ontario,2,Sample-Routine,Surface Water,2022-04-19,Turbidity,,0.14,NTU,Actual
Lake Ontario,2,Sample-Routine,Surface Water,2023-04-13,Turbidity,,0.17,NTU,Actual
Lake Erie,939,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.23,NTU,Actual
Lake Erie,939,Sample-Routine,Surface Water,2023-05-19,Turbidity,,0.42,NTU,Actual
Lake Erie,939,Sample-Routine,Surface Water,2024-08-22,Turbidity,,0.54,NTU,Actual
Lake Superior,177,Sample-Routine,Surface Water,2024-06-13,Turbidity,,0.15,NTU,Actual
Lake Superior,177,Sample-Routine,Surface Water,2024-09-19,Turbidity,,0.17,NTU,Actual
Lake Superior,23,Sample-Routine,Surface Water,2024-09-13,Turbidity,,0.11,NTU,Actual
Lake Superior,23,Sample-Routine,Surface Water,2024-06-09,Turbidity,,0.14,NTU,Actual
Lake Superior,57,Sample-Routine,Surface Water,2024-06-10,Turbidity,,0.16,NTU,Actual
Lake Superior,57,Sample-Routine,Surface Water,2024-09-14,Turbidity,,0.11,NTU,Actual
Lake Huron,63,Sample-Routine,Surface Water,2022-06-03,Turbidity,,0.15,NTU,Actual
Lake Huron,63,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.17,NTU,Actual
Lake Huron,63,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.21,NTU,Actual
Lake Ontario,39,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.12,NTU,Actual
Lake Ontario,39,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.12,NTU,Actual
Lake Ontario,56,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.11,NTU,Actual
Lake Ontario,56,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.11,NTU,Actual
Lake Ontario,49,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.1,NTU,Actual
Lake Ontario,13,Sample-Routine,Surface Water,2022-04-25,Turbidity,,0.11,NTU,Actual
Lake Superior,11,Sample-Routine,Surface Water,2024-06-18,Turbidity,,0.16,NTU,Actual
Lake Superior,11,Sample-Routine,Surface Water,2024-09-23,Turbidity,,0.13,NTU,Actual
Lake Ontario,28,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.09,NTU,Actual
Lake Huron,62,Sample-Routine,Surface Water,2022-06-02,Turbidity,,0.14,NTU,Actual
Lake Huron,62,Sample-Routine,Surface Water,2022-09-16,Turbidity,,0.24,NTU,Actual
Lake Huron,62,Sample-Routine,Surface Water,2024-09-05,Turbidity,,0.3,NTU,Actual
Lake Ontario,98,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.36,NTU,Actual
Lake Ontario,98,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.59,NTU,Actual
Lake Ontario,41,Sample-Routine,Surface Water,2022-04-21,Turbidity,,0.14,NTU,Actual
Lake Ontario,41,Sample-Routine,Surface Water,2022-08-12,Turbidity,,0.55,NTU,Actual
Lake Ontario,41,Sample-Routine,Surface Water,2023-04-14,Turbidity,,0.17,NTU,Actual
Lake Erie,936,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.53,NTU,Actual
Lake Erie,936,Sample-Routine,Surface Water,2023-05-09,Turbidity,,1.25,NTU,Actual
Lake Erie,936,Sample-Routine,Surface Water,2024-08-19,Turbidity,,0.59,NTU,Actual
Lake Ontario,97,Sample-Routine,Surface Water,2022-04-23,Turbidity,,2.74,NTU,Actual
Lake Ontario,97,Sample-Routine,Surface Water,2023-04-16,Turbidity,,1.92,NTU,Actual
Lake Erie,942,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.47,NTU,Actual
Lake Erie,942,Sample-Routine,Surface Water,2023-05-09,Turbidity,,1.96,NTU,Actual
Lake Erie,942,Sample-Routine,Surface Water,2024-08-22,Turbidity,,0.54,NTU,Actual
Lake Huron,32,Sample-Routine,Surface Water,2022-06-07,Turbidity,,0.09,NTU,Actual
Lake Huron,32,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.13,NTU,Actual
Lake Huron,32,Sample-Routine,Surface Water,2024-08-30,Turbidity,,0.1,NTU,Actual
Lake Ontario,26,Sample-Routine,Surface Water,2022-08-12,Turbidity,,0.4,NTU,Actual
Lake Ontario,26,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.1,NTU,Actual
Lake Huron,101,Sample-Routine,Surface Water,2022-09-20,Turbidity,,2.22,NTU,Actual
Lake Huron,101,Sample-Routine,Surface Water,2022-06-01,Turbidity,,0.57,NTU,Actual
Lake Huron,101,Sample-Routine,Surface Water,2024-08-27,Turbidity,,2.02,NTU,Actual
Lake Ontario,40,Sample-Routine,Surface Water,2022-08-11,Turbidity,,0.42,NTU,Actual
Lake Ontario,40,Sample-Routine,Surface Water,2022-04-25,Turbidity,,0.09,NTU,Actual
Lake Ontario,40,Sample-Routine,Surface Water,2023-04-15,Turbidity,,0.13,NTU,Actual
Lake Ontario,93,Sample-Routine,Surface Water,2022-04-26,Turbidity,,0.64,NTU,Actual
Lake Ontario,93,Sample-Routine,Surface Water,2023-04-14,Turbidity,,5.35,NTU,Actual
Lake Erie,943,Sample-Routine,Surface Water,2022-08-17,Turbidity,,1.9,NTU,Actual
Lake Erie,943,Sample-Routine,Surface Water,2023-05-09,Turbidity,,11.1,NTU,Actual
Lake Erie,943,Sample-Routine,Surface Water,2023-05-09,Turbidity,,11.2,NTU,Actual
Lake Erie,943,Sample-Routine,Surface Water,2024-08-22,Turbidity,,1.22,NTU,Actual
Lake Ontario,20,Sample-Routine,Surface Water,2022-04-26,Turbidity,,0.32,NTU,Actual
Lake Ontario,20,Sample-Routine,Surface Water,2023-04-14,Turbidity,,1.14,NTU,Actual
Lake Ontario,77,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.09,NTU,Actual
Lake Ontario,77,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.12,NTU,Actual
Lake Ontario,36,Sample-Routine,Surface Water,2022-04-26,Turbidity,,0.1,NTU,Actual
Lake Ontario,36,Sample-Routine,Surface Water,2023-04-14,Turbidity,,0.11,NTU,Actual
Lake Erie,967,Sample-Routine,Surface Water,2022-08-19,Turbidity,,1,NTU,Actual
Lake Erie,967,Sample-Routine,Surface Water,2023-05-17,Turbidity,,2.79,NTU,Actual
Lake Erie,967,Sample-Routine,Surface Water,2024-08-15,Turbidity,,2.23,NTU,Actual
Lake Erie,967,Sample-Routine,Surface Water,2024-04-17,Turbidity,,10.3,NTU,Actual
Lake Erie,934,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.23,NTU,Actual
Lake Erie,934,Sample-Routine,Surface Water,2023-05-09,Turbidity,,0.96,NTU,Actual
Lake Erie,934,Sample-Routine,Surface Water,2024-08-20,Turbidity,,0.49,NTU,Actual
Lake Ontario,14,Sample-Routine,Surface Water,2022-04-19,Turbidity,,0.11,NTU,Actual
Lake Ontario,72,Sample-Routine,Surface Water,2022-04-23,Turbidity,,0.1,NTU,Actual
Lake Ontario,72,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.13,NTU,Actual
Lake Erie,1236,Sample-Routine,Surface Water,2022-08-15,Turbidity,,0.24,NTU,Actual
Lake Erie,1236,Sample-Routine,Surface Water,2023-05-09,Turbidity,,0.73,NTU,Actual
Lake Erie,1236,Sample-Routine,Surface Water,2024-08-20,Turbidity,,0.48,NTU,Actual
Lake Superior,149,Sample-Routine,Surface Water,2024-09-19,Turbidity,,0.14,NTU,Actual
Lake Superior,149,Sample-Routine,Surface Water,2024-06-14,Turbidity,,0.14,NTU,Actual
Georgian Bay,3,Sample-Routine,Surface Water,2022-09-13,Turbidity,,0.16,NTU,Actual
Georgian Bay,3,Sample-Routine,Surface Water,2024-09-09,Turbidity,,0.21,NTU,Actual
Lake Ontario,85,Sample-Routine,Surface Water,2022-04-20,Turbidity,,0.08,NTU,Actual
Lake Ontario,85,Sample-Routine,Surface Water,2023-04-18,Turbidity,,0.16,NTU,Actual
Lake Huron,54,Sample-Routine,Surface Water,2022-09-17,Turbidity,,0.17,NTU,Actual
Lake Huron,54,Sample-Routine,Surface Water,2022-06-02,Turbidity,,0.1,NTU,Actual
Lake Huron,54,Sample-Routine,Surface Water,2024-09-04,Turbidity,,0.17,NTU,Actual
Lake Ontario,5,Sample-Routine,Surface Water,2022-04-19,Turbidity,,0.14,NTU,Actual
Lake Ontario,5,Sample-Routine,Surface Water,2023-04-18,Turbidity,,0.23,NTU,Actual
Lake Huron,30,Sample-Routine,Surface Water,2022-09-19,Turbidity,,0.16,NTU,Actual
Lake Huron,30,Sample-Routine,Surface Water,2024-08-29,Turbidity,,0.14,NTU,Actual
Lake Huron,55,Sample-Routine,Surface Water,2022-09-17,Turbidity,,0.16,NTU,Actual
Lake Huron,55,Sample-Routine,Surface Water,2024-09-04,Turbidity,,0.18,NTU,Actual
Lake Erie,961,Sample-Routine,Surface Water,2022-08-19,Turbidity,,0.66,NTU,Actual
Lake Erie,961,Sample-Routine,Surface Water,2023-05-17,Turbidity,,0.54,NTU,Actual
Lake Erie,961,Sample-Routine,Surface Water,2024-08-16,Turbidity,,0.67,NTU,Actual
Lake Superior,106,Sample-Routine,Surface Water,2024-09-21,Turbidity,,0.13,NTU,Actual
Lake Superior,106,Sample-Routine,Surface Water,2024-06-15,Turbidity,,0.12,NTU,Actual
Lake Superior,17,Sample-Routine,Surface Water,2024-06-09,Turbidity,,0.16,NTU,Actual
Lake Superior,17,Sample-Routine,Surface Water,2024-09-14,Turbidity,,0.15,NTU,Actual
Lake Erie,879,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.31,NTU,Actual
Lake Erie,879,Sample-Routine,Surface Water,2023-05-09,Turbidity,,5.22,NTU,Actual
Lake Erie,879,Sample-Routine,Surface Water,2023-05-09,Turbidity,,5.92,NTU,Actual
Lake Erie,879,Sample-Routine,Surface Water,2024-04-20,Turbidity,,0.96,NTU,Actual
Lake Erie,879,Sample-Routine,Surface Water,2024-08-12,Turbidity,,0.59,NTU,Actual
Lake Erie,940,Sample-Routine,Surface Water,2022-08-16,Turbidity,,0.34,NTU,Actual
Lake Erie,940,Sample-Routine,Surface Water,2023-05-09,Turbidity,,0.35,NTU,Actual
Lake Erie,940,Sample-Routine,Surface Water,2024-04-19,Turbidity,,0.42,NTU,Actual
Lake Erie,940,Sample-Routine,Surface Water,2024-08-22,Turbidity,,0.27,NTU,Actual
Lake Huron,50,Sample-Routine,Surface Water,2022-09-18,Turbidity,,0.12,NTU,Actual
Lake Huron,50,Sample-Routine,Surface Water,2024-09-07,Turbidity,,0.11,NTU,Actual
Lake Ontario,16,Sample-Routine,Surface Water,2023-04-14,Turbidity,,0.12,NTU,Actual
Lake Ontario,84,Sample-Routine,Surface Water,2022-08-12,Turbidity,,1.05,NTU,Actual
Lake Ontario,84,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.11,NTU,Actual
Lake Erie,968,Sample-Routine,Surface Water,2022-08-19,Turbidity,,1.35,NTU,Actual
Lake Erie,968,Sample-Routine,Surface Water,2023-05-17,Turbidity,,1.92,NTU,Actual
Lake Erie,968,Sample-Routine,Surface Water,2024-08-15,Turbidity,,1.76,NTU,Actual
Lake Superior,97,Sample-Routine,Surface Water,2024-09-16,Turbidity,,0.12,NTU,Actual
Lake Ontario,61,Sample-Routine,Surface Water,2022-08-12,Turbidity,,1.12,NTU,Actual
Lake Ontario,61,Sample-Routine,Surface Water,2023-04-17,Turbidity,,0.12,NTU,Actual
Lake Superior,31,Sample-Routine,Surface Water,2024-06-18,Turbidity,,0.17,NTU,Actual
Lake Superior,31,Sample-Routine,Surface Water,2024-09-23,Turbidity,,0.17,NTU,Actual
Lake Erie,931,Sample-Routine,Surface Water,2022-08-15,Turbidity,,0.32,NTU,Actual
Lake Erie,931,Sample-Routine,Surface Water,2023-05-08,Turbidity,,1.33,NTU,Actual
Lake Erie,931,Sample-Routine,Surface Water,2024-08-12,Turbidity,,0.54,NTU,Actual
Lake Ontario,68,Sample-Routine,Surface Water,2023-04-16,Turbidity,,0.13,NTU,Actual
Georgian Bay,33,Sample-Routine,Surface Water,2022-06-06,Turbidity,,0.13,NTU,Actual
Georgian Bay,33,Sample-Routine,Surface Water,2022-09-14,Turbidity,,0.14,NTU,Actual
Georgian Bay,33,Sample-Routine,Surface Water,2024-09-09,Turbidity,,0.21,NTU,Actual
Lake Erie,955,Sample-Routine,Surface Water,2022-08-18,Turbidity,,0.54,NTU,Actual
Lake Erie,955,Sample-Routine,Surface Water,2023-05-18,Turbidity,,1.16,NTU,Actual
Lake Erie,955,Sample-Routine,Surface Water,2024-08-15,Turbidity,,0.35,NTU,Actual
Lake Superior,39,Sample-Routine,Surface Water,2024-06-17,Turbidity,,0.14,NTU,Actual
Lake Superior,39,Sample-Routine,Surface Water,2024-09-23,Turbidity,,0.14,NTU,Actual
Lake Ontario,38,Sample-Routine,Surface Water,2022-04-24,Turbidity,,0.24,NTU,Actual
Lake Ontario,38,Sample-Routine,Surface Water,2022-08-11,Turbidity,,0.33,NTU,Actual
Lake Ontario,38,Sample-Routine,Surface Water,2023-04-15,Turbidity,,1.92,NTU,Actual
Georgian Bay,122,Sample-Routine,Surface Water,2022-09-12,Turbidity,,0.28,NTU,Actual
Georgian Bay,122,Sample-Routine,Surface Water,2024-09-10,Turbidity,,0.26,NTU,Actual
